Designator,Mid X,Mid Y,Layer,Rotation
C2,143.02,35.75,Bottom,270.0
C3,107.82,46.57,Bottom,180.0
C4,109.77,39.53,Bottom,270.0
C5,109.71,37.16,Bottom,270.0
CB,132.08,40.83,Bottom,90.0
CEN,137.59,41.22,Bottom,180.0
CIN1,129.92,26.76,Bottom,180.0
CIN2,127.38,26.76,Bottom,180.0
CIN3,124.84,26.76,Bottom,180.0
COUT1,129.36,32.13,Bottom,90.0
COUT2,125.56,32.18,Bottom,90.0
COUT3,121.76,32.13,Bottom,90.0
COUT4,117.86,32.18,Bottom,90.0
CSS,135.83,41.18,Bottom,0.0
CTON,132.16,47.16,Bottom,90.0
CVC,134.19,40.98,Bottom,0.0
D7,146.55,38.73,Bottom,180.0
DEN,142.98,43.08,Bottom,0.0
EN,146.88,47.48,Bottom,0.0
ESP_HDR_LEFT,149.11,23.00,Top,180.0
ESP_HDR_RIGHT,149.11,51.90,Top,180.0
FB,139.76,35.76,Bottom,0.0
J9,153.67,32.94,Bottom,90.0
L1,122.71,42.76,Bottom,180.0
LX,141.80,47.48,Bottom,0.0
R1,140.21,39.79,Bottom,90.0
R2,140.09,37.93,Bottom,270.0
R3,146.31,37.40,Bottom,270.0
R16,113.74,33.63,Bottom,270.0
R22,146.29,35.92,Bottom,90.0
R31,110.22,45.57,Bottom,270.0
RECT,142.24,30.40,Bottom,0.0
REG,135.89,36.75,Bottom,180.0
REN,136.91,44.65,Bottom,90.0
RTON,132.83,44.64,Bottom,90.0
TON,144.34,47.48,Bottom,0.0
U2,109.89,42.76,Bottom,90.0
VIN,134.12,30.45,Bottom,0.0
